업소명,업태,주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
지리산 밸리팬션,숙박업(생활),전북특별자치도 남원시 산내면 지리산로 1268,35.3988152,127.6023184,35.3988730,127.6029728,60
줄포만 게스트하우스,숙박업 기타,전북특별자치도 부안군 줄포면 생태공원로 38,35.5819761,126.6741907,35.5815598,126.6738339,56
마루아라 하우스,숙박업(생활),전북특별자치도 부안군 줄포면 생태공원로 38,35.5819761,126.6741907,35.5815598,126.6738339,56
숲으로1 모텔,여관업,전북특별자치도 김제시 하정1길 40 (흥사동),35.8361495,126.9064071,35.8365416,126.9060863,52
무주 나봄리조트 별관,숙박업(생활),"전북특별자치도 무주군 설천면 월곡길 84, 지하2-지상4층",35.8951335,127.7722480,35.8951865,127.7727995,50
모악산 아트포레,숙박업(생활),"전북특별자치도 완주군 구이면 모악산길 111-21, 모악산 아트포레",35.7274545,127.1083639,35.7273271,127.1078738,46
고창비치호텔,일반호텔,"전북특별자치도 고창군 심원면 애향갯벌로 70, 고창컨트리클럽",35.5161692,126.5018470,35.5159681,126.5022635,44
달하노피곰 캡슐호텔,숙박업 기타,"전북특별자치도 정읍시 서부산업도로 287, 2동 2층 (연지동)",35.5743695,126.8424314,35.5747114,126.8426642,43
무주글램팬션힐스,숙박업(생활),전북특별자치도 무주군 설천면 구천동1로 30,35.9053470,127.7777372,35.9055570,127.7781432,43
쿡2포레나,여관업,전북특별자치도 김제시 하정로 31 (흥사동),35.8380693,126.9060859,35.8379725,126.9056264,43
칸모텔,숙박업 기타,전북특별자치도 정읍시 송산1길 220 (금붕동),35.5489896,126.8785827,35.5490626,126.8790401,42
희락재,숙박업(생활),"전북특별자치도 무주군 설천면 비례길 49, 1-3층",36.0185491,127.7546757,36.0183215,127.7543156,41
장수온천호텔,일반호텔,전북특별자치도 장수군 번암면 장수로 673-14,35.5375941,127.5238116,35.5379494,127.5237048,41
캐슬,여관업,전북특별자치도 남원시 주천면 원천로 291-19 (외 1필지),35.4054112,127.4227160,35.4057254,127.4224916,40
서울여관,여관업,전북특별자치도 부안군 위도면 파장금안길 23-4,35.6172944,126.3060194,35.6171834,126.3064367,40
현대파크,숙박업(생활),전북특별자치도 군산시 옥도면 선유남길 37-3,35.8081942,126.4123495,35.8081367,126.4127763,39
스테이 피크닉,숙박업(생활),전북특별자치도 완주군 상관면 상관소양로 112,35.7736688,127.2164533,35.7733342,127.2163337,39
매일여인숙,여인숙업,전북특별자치도 정읍시 연지시장1길 65 (연지동),35.5736822,126.8471902,35.5733747,126.8473732,38
히든모텔,여관업,"전북특별자치도 고창군 고창읍 동리로 238, 히든모텔",35.4307826,126.7173569,35.4304482,126.7173003,38
무주펜션 풀빌라 숲빛,숙박업(생활),전북특별자치도 무주군 무풍면 구천동로 379,35.8894460,127.8190139,35.8897074,127.8187513,37
순창군 장류체험관,숙박업 기타,전북특별자치도 순창군 순창읍 민속마을길 55,35.3658322,127.1082311,35.3656726,127.1085899,37
코아모텔,여관업,전북특별자치도 완주군 고산면 대아저수로 410-54,35.9845989,127.2621487,35.9842801,127.2622678,37
힐하우스,여관업,전북특별자치도 정읍시 입암면 정읍남로 331,35.4917549,126.7856909,35.4918746,126.7860687,37
궁모텔,여관업,전북특별자치도 정읍시 연지시장2길 16 (연지동),35.5747219,126.8462846,35.5750124,126.8464360,35
휘목아트리조트,숙박업(생활),전북특별자치도 부안군 진서면 운호길 10,35.5944565,126.5635858,35.5947654,126.5635534,34
바람의언덕,숙박업 기타,전북특별자치도 무주군 무풍면 오두재로 16,35.8890422,127.8218305,35.8891544,127.8214750,34
