업소명,주소,제조구분,업태,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
(주)케이씨씨실리콘 전주공장,"전북특별자치도 완주군 봉동읍 과학로 801, KCC전주제3공장",냉동,제조,35.9403843,127.1222193,35.9399485,127.1191679,279
전북대학교 반도체물성연구소,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),,저장소,35.8455194,127.1330401,35.8431504,127.1340115,278
(주)하림,전북특별자치도 익산시 망성면 망성로 14 (주)하림,냉동,제조,36.0767711,127.0408559,36.0767542,127.0439328,277
세아베스틸(주),전북특별자치도 군산시 외항로 522 (주)세아베스틸 (소룡동),,저장소,35.9720955,126.6112698,35.9743232,126.6099756,274
에이치디건설기계(주),전북특별자치도 군산시 동장산로 185 (소룡동),냉동,제조,35.9646718,126.5817182,35.9634522,126.5843275,271
군산조선해양기술사업협동조합,"전북특별자치도 군산시 자유무역로 243, 군산조선해양기술사업협동조합 (오식도동)",,저장소,35.9665747,126.5448588,35.9648414,126.5469224,268
타타대우모빌리티(주),"전북특별자치도 군산시 동장산로 172, 타타대우상용차(주) (소룡동)",냉동,제조,35.9648340,126.5927887,35.9631948,126.5907351,260
타타대우모빌리티(주),"전북특별자치도 군산시 동장산로 172, 타타대우모빌리티(주) (소룡동)",냉동,제조,35.9648340,126.5927887,35.9631948,126.5907351,260
(주)전주페이퍼,전북특별자치도 전주시 덕진구 팔복로 59 (팔복동2가),,저장소,35.8486311,127.0986010,35.8468673,127.0968790,250
(주)전주페이퍼,전북특별자치도 전주시 덕진구 팔복로 59 (팔복동2가),냉동,제조,35.8486311,127.0986010,35.8468673,127.0968790,250
팬아시아 페이펴 코리아(주),전북특별자치도 전주시 덕진구 팔복로 59  (팔복동2가),일반,제조,35.8486311,127.0986010,35.8468673,127.0968790,250
하이트진로(주)  전주공장,전북특별자치도 완주군 용진읍 신지송광로 25-33,일반,제조,35.9190418,127.1774778,35.9181677,127.1749661,246
하이트진로(주) 전주공장,전북특별자치도 완주군 용진읍 신지송광로 25-33,냉동,제조,35.9190418,127.1774778,35.9181677,127.1749661,246
대상(주) 순창공장,전북특별자치도 순창군 순창읍 순창로 30,냉동,제조,35.3596153,127.1436729,35.3578518,127.1452355,242
디엘에프엔씨 주식회사,전북특별자치도 완주군 봉동읍 과학로 802,냉동,제조,35.9403286,127.1283136,35.9401826,127.1256525,240
(주)SH에너지화학,전북특별자치도 군산시 외항7길 20 (주)SH에너지화학 (소룡동),냉동,제조,35.9677204,126.6247891,35.9679464,126.6221659,237
(주)SH에너지화학,전북특별자치도 군산시 외항7길 20 (주)SH에너지화학 (소룡동),냉동,제조,35.9677204,126.6247891,35.9679464,126.6221659,237
(주)SH에너지화학,전북특별자치도 군산시 외항7길 20 (소룡동),냉동,제조,35.9677204,126.6247891,35.9679464,126.6221659,237
